hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone_number,credit_card
Resort Hotel,0,84,2015,July,28,11,1,1,2,0.0,0,HB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,113.0,0,Transient,100.0,1,0,Check-Out,2015-07-13,Lisa Morgan,LMorgan@hotmail.com,645-017-6780,************3449
Resort Hotel,0,1,2015,July,29,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,270.0,0,Transient,134.0,0,0,Check-Out,2015-07-15,Stephanie Williams,Stephanie.W83@gmail.com,927-634-9275,************3887
Resort Hotel,0,73,2015,July,29,14,1,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,127.0,0,1,Check-Out,2015-07-20,Carol Bowen,Bowen_Carol59@outlook.com,485-581-8769,************6277
Resort Hotel,0,99,2015,July,29,14,2,7,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,107.0,0,1,Check-Out,2015-07-23,Michael Rodriguez,Michael_R@comcast.net,937-255-4154,************5080
Resort Hotel,0,0,2015,July,29,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,,0,Transient,134.0,0,0,Check-Out,2015-07-15,Brian Chang,Brian.Chang@yandex.com,178-366-4362,************1565
Resort Hotel,0,7,2015,July,29,17,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,127.25,0,1,Check-Out,2015-07-19,Charles Trujillo,Trujillo_Charles@yandex.com,139-999-4078,************6468
Resort Hotel,1,7,2015,July,29,17,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,127.25,0,1,Canceled,2015-07-13,Cheryl Reyes,CherylReyes@mail.com,396-044-9712,************7066
Resort Hotel,0,9,2015,July,29,17,2,2,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,164.0,0,1,Check-Out,2015-07-21,Sarah Ramirez,Ramirez_Sarah91@yandex.com,625-640-0396,************5553
Resort Hotel,0,0,2015,July,30,19,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,98.0,0,0,Check-Out,2015-07-20,James Benson,James_B@hotmail.com,771-197-3340,************8450
Resort Hotel,0,0,2015,July,30,19,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,240.0,0,Group,88.2,0,0,Check-Out,2015-07-20,Anne Alvarez,Anne_A@comcast.net,514-458-1755,************6603
Resort Hotel,0,44,2015,July,30,19,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,92.0,0,0,Check-Out,2015-07-23,Catherine Johnson,Catherine.Johnson67@xfinity.com,631-470-2691,************1288
Resort Hotel,0,66,2015,July,30,19,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,115.0,0,1,Check-Out,2015-07-24,Courtney Owens,Courtney.Owens99@xfinity.com,863-518-9871,************8717
Resort Hotel,0,5,2015,July,30,21,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,154.0,0,Transient,99.5,0,0,Check-Out,2015-07-23,Erika Gonzalez,Erika_G@zoho.com,837-896-0730,************3707
Resort Hotel,1,36,2015,July,30,24,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.5,0,0,Canceled,2015-07-22,Amanda Williams,Williams.Amanda58@gmail.com,396-326-2739,************6196
Resort Hotel,1,16,2015,July,30,25,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,134.0,0,0,Canceled,2015-07-23,Jennifer Berger,JenniferBerger89@mail.com,479-956-6480,************5831
Resort Hotel,1,0,2015,July,31,30,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,270.0,0,Transient,114.0,0,0,Canceled,2015-07-30,Stacey Shields,StaceyShields@aol.com,748-709-5841,************6104
Resort Hotel,0,16,2015,July,31,31,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,1,Check-Out,2015-08-02,Jessica Armstrong,Armstrong_Jessica@att.com,388-355-5572,************9685
Resort Hotel,1,23,2015,July,31,31,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,111.92,0,0,Canceled,2015-07-14,Joshua Lopez,JLopez30@xfinity.com,472-422-0459,************3737
Resort Hotel,0,95,2015,August,32,2,2,4,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,,,0,Transient,186.0,1,4,Check-Out,2015-08-08,Amy Cole,Amy_C24@verizon.com,292-723-7982,************3379
Resort Hotel,0,60,2015,August,32,2,2,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,180.28,0,0,Check-Out,2015-08-09,Kelly Harrison,Kelly.H@protonmail.com,788-739-1949,************4524
Resort Hotel,0,1,2015,August,32,7,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,144.0,0,Transient,114.0,0,0,Check-Out,2015-08-08,Scott Mccoy,Scott.Mccoy@mail.com,350-605-2526,************5258
Resort Hotel,1,33,2015,August,33,12,0,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,191.0,0,0,No-Show,2015-08-12,Daniel Davis,Davis.Daniel17@hotmail.com,392-977-2714,************2490
Resort Hotel,0,1,2015,August,33,13,0,1,3,0.0,0,BB,IRL,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,110.0,0,Transient,158.0,1,1,Check-Out,2015-08-14,Katie Bush,KatieBush25@yandex.com,388-060-0351,************6792
Resort Hotel,1,8,2015,August,33,13,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,178.33,0,2,Canceled,2015-08-12,Brett Owen,Brett.Owen64@zoho.com,689-320-9810,************3828
Resort Hotel,1,8,2015,August,33,13,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,178.33,0,2,Canceled,2015-08-12,Regina Best,Best.Regina@verizon.com,385-622-4277,************8865
Resort Hotel,0,0,2015,August,33,14,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,173.0,0,0,Check-Out,2015-08-15,Heather Steele,Heather.S@comcast.net,265-455-5623,************7270
Resort Hotel,0,7,2015,August,33,14,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,167.25,0,0,Check-Out,2015-08-18,Thomas Fox,Thomas.F92@hotmail.com,551-282-5826,************7450
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17,Abigail Carpenter DDS,Abigail_D47@verizon.com,368-443-8652,************6636
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient,172.0,0,0,Check-Out,2015-08-17,Nicole Snyder MD,NicoleMD74@protonmail.com,348-028-9101,************5656
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17,Michael Peters,Michael_P@outlook.com,437-578-2958,************6698
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17,Renee Dunn,Renee_Dunn18@xfinity.com,870-576-9302,************4509
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17,Amy Miller,Amy_Miller56@protonmail.com,925-983-3395,************5858
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17,Misty Chan,Misty.Chan@yandex.com,282-078-2675,************3300
Resort Hotel,0,10,2015,August,34,18,2,5,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,187.0,0,2,Check-Out,2015-08-25,Mr. Eric Jones,Mr..Jones@att.com,199-888-4429,************7526
Resort Hotel,0,61,2015,August,34,19,1,4,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,220.4,0,2,Check-Out,2015-08-24,Charles Parrish,Charles.Parrish84@mail.com,481-292-6378,************2610
Resort Hotel,0,13,2015,August,34,21,2,4,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,236.0,0,0,Check-Out,2015-08-27,Andrew Cohen,Cohen.Andrew@att.com,113-232-5049,************2108
Resort Hotel,0,0,2015,August,34,22,0,1,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,172.0,0,0,Check-Out,2015-08-23,Susan Gibson,Susan_G@outlook.com,843-821-8199,************2952
Resort Hotel,1,21,2015,August,34,22,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,172.0,0,0,Canceled,2015-08-19,Eric Brooks,Eric.Brooks70@yahoo.com,442-001-3830,************6821
Resort Hotel,1,31,2015,August,35,23,4,6,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,138.79,0,0,Canceled,2015-08-13,Stephanie Cross,Cross_Stephanie@outlook.com,647-912-3221,************5995
Resort Hotel,1,9,2015,August,35,23,4,6,1,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,122.0,0,2,Canceled,2015-08-18,Steven Mckinney,StevenMckinney@protonmail.com,924-647-0919,************1978
Resort Hotel,0,40,2015,August,35,24,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,154.0,0,Transient,99.5,0,0,Check-Out,2015-08-25,Michael Mcintosh,MichaelMcintosh@yandex.com,691-523-5046,************2001
Resort Hotel,0,0,2015,August,35,24,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,153.0,0,0,Check-Out,2015-08-25,Sean Gutierrez,Sean_G@verizon.com,375-911-6468,************8606
Resort Hotel,1,33,2015,August,35,24,1,4,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,209.6,0,1,Canceled,2015-07-29,Corey Phillips,Phillips.Corey@outlook.com,103-716-8190,************5851
Resort Hotel,1,2,2015,August,35,26,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,110.0,0,Transient,137.7,0,0,Canceled,2015-08-25,Donald Christensen,Donald.C@aol.com,253-901-2662,************1274
Resort Hotel,0,0,2015,August,35,26,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.0,0,0,Check-Out,2015-08-27,Shannon Smith,Shannon_Smith46@gmail.com,423-695-5382,************9928
Resort Hotel,0,57,2015,August,35,26,2,9,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,111.27,0,0,Check-Out,2015-09-06,Julie West,Julie.West@verizon.com,379-133-0844,************2656
Resort Hotel,1,41,2015,August,35,27,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.34,0,0,Canceled,2015-07-17,Amy Brown,Amy.Brown@protonmail.com,104-366-6209,************9290
Resort Hotel,1,66,2015,August,35,28,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.05,0,0,Canceled,2015-07-01,Jessica Gibson,Gibson_Jessica93@verizon.com,297-122-9750,************6425
Resort Hotel,1,1,2015,August,35,28,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,130.6,0,1,Canceled,2015-08-28,Ann Clark,AClark@aol.com,475-152-9950,************5600
Resort Hotel,0,1,2015,August,35,29,2,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient-Party,142.5,0,1,Check-Out,2015-09-02,George Davis,George.D@hotmail.com,544-410-6492,************5008
Resort Hotel,1,24,2015,August,35,29,2,3,2,0.0,0,HB,PRT,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,149.0,0,0,Canceled,2015-08-06,Richard Arnold,Richard_Arnold@zoho.com,905-262-1923,************9745
Resort Hotel,0,136,2015,August,35,29,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,112.0,0,2,Check-Out,2015-09-03,Joseph Rios,Joseph_Rios@mail.com,712-589-5845,************8322
Resort Hotel,0,2,2015,August,36,30,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,154.0,1,0,Check-Out,2015-08-31,Carol Mcdonald,CarolMcdonald@comcast.net,287-186-8138,************7151
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06,Jennifer Carlson,Jennifer_C@outlook.com,654-753-7212,************8325
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,SMR,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06,Teresa King,King.Teresa@mail.com,447-526-4161,************4298
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06,Kelly Carpenter,Kelly.Carpenter@att.com,826-666-3848,************7374
Resort Hotel,0,154,2015,September,36,3,0,3,1,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,1,No Deposit,,268.0,0,Transient-Party,80.0,0,0,Check-Out,2015-09-06,Mary Figueroa,Figueroa.Mary@comcast.net,952-837-5972,************9194
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06,Wanda Hodges,Hodges_Wanda@xfinity.com,502-071-3802,************7275
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient,88.2,0,0,Check-Out,2015-09-06,Kenneth Watson,KWatson@yahoo.com,713-520-4409,************8508
Resort Hotel,0,6,2015,September,36,3,0,3,2,0.0,0,BB,FRA,Corporate,Direct,0,0,0,A,A,0,No Deposit,,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06,Joseph Martin,Joseph_Martin91@verizon.com,272-763-3433,************8076
Resort Hotel,1,304,2015,September,36,3,0,3,40,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0.0,0,0,Canceled,2015-01-02,Brianna Mejia,BriannaMejia@gmail.com,579-877-3361,************5189
Resort Hotel,0,0,2015,September,36,4,2,2,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,2,No Deposit,,,0,Transient,176.0,0,0,Check-Out,2015-09-08,Carl Crawford,Carl_Crawford@zoho.com,741-292-9307,************5208
Resort Hotel,1,32,2015,September,37,6,1,0,2,0.0,0,HB,PRT,Offline TA/TO,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,149.0,0,0,Canceled,2015-08-06,Charles Lewis,Charles_Lewis@zoho.com,116-757-1719,************1964
Resort Hotel,1,336,2015,September,37,7,1,2,50,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0.0,0,0,Canceled,2015-01-18,Timothy Clark,Timothy.Clark@comcast.net,902-620-3655,************5474
Resort Hotel,0,0,2015,September,37,8,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,,,0,Transient,131.0,0,0,Check-Out,2015-09-10,Jeanette Townsend,Jeanette.Townsend@protonmail.com,725-350-3107,************2592
Resort Hotel,1,0,2015,September,37,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,146.0,0,2,Canceled,2015-09-09,Jenny Williams,Jenny.Williams@outlook.com,841-709-6063,************8680
Resort Hotel,0,28,2015,September,37,9,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,154.0,0,Transient,80.0,0,0,Check-Out,2015-09-10,Jennifer Davis,Jennifer_Davis@zoho.com,586-433-3929,************1328
Resort Hotel,1,0,2015,September,37,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,146.0,0,2,Canceled,2015-09-09,Patricia Rios,PRios18@att.com,256-599-0954,************6449
Resort Hotel,0,0,2015,September,37,9,0,1,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,134.0,0,0,Check-Out,2015-09-10,Tony Taylor,Tony_Taylor@outlook.com,459-617-0227,************3914
Resort Hotel,1,1,2015,September,37,9,1,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,124.4,0,0,Canceled,2015-09-09,Matthew Carpenter,MatthewCarpenter@protonmail.com,259-211-6180,************9962
Resort Hotel,0,0,2015,September,37,11,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,131.0,1,0,Check-Out,2015-09-12,Dr. Damon Walter,Dr.Walter@outlook.com,437-096-4860,************2223
Resort Hotel,0,3,2015,September,37,11,0,1,1,0.0,0,BB,GBR,Corporate,Direct,0,0,0,A,D,0,No Deposit,,59.0,0,Transient,134.0,0,0,Check-Out,2015-09-12,Angela Whitney,Whitney_Angela@xfinity.com,474-091-7478,************9883
Resort Hotel,0,0,2015,September,38,13,1,0,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-09-14,David Gibson,DavidGibson@xfinity.com,316-853-7346,************2928
Resort Hotel,0,6,2015,September,38,16,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,204.0,0,Transient,55.0,0,0,Check-Out,2015-09-18,Alexandra Pennington,APennington58@protonmail.com,965-562-5751,************1212
Resort Hotel,1,349,2015,September,39,21,1,3,27,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0.0,0,0,Canceled,2015-01-02,Benjamin Pierce,Pierce.Benjamin78@zoho.com,589-933-9273,************2856
Resort Hotel,0,108,2015,September,39,22,2,5,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,77.73,1,0,Check-Out,2015-09-29,Emma Kim,Emma_Kim@outlook.com,109-739-1320,************7188
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,DEU,Corporate,Corporate,0,0,0,A,C,1,No Deposit,,110.0,0,Transient-Party,108.65,0,0,Check-Out,2015-09-24,Joshua Andrews,Joshua.Andrews@att.com,223-844-5260,************3807
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,110.0,0,Transient-Party,75.65,0,0,Check-Out,2015-09-24,Brittany Johnson,BrittanyJohnson@outlook.com,639-159-4612,************2681
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,DEU,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,110.0,0,Transient-Party,108.85,0,0,Check-Out,2015-09-24,Daniel Lee,Daniel.Lee@verizon.com,941-217-1068,************5701
Resort Hotel,1,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,110.0,0,Transient,75.65,0,0,Canceled,2015-09-22,Stacy Woods,Stacy_W79@comcast.net,979-821-5703,************5196
Resort Hotel,1,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,110.0,0,Transient-Party,75.65,0,0,Canceled,2015-09-22,Matthew Herrera MD,MD_Matthew@yandex.com,999-708-4727,************6604
Resort Hotel,1,352,2015,September,39,24,1,3,27,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0.0,0,0,Canceled,2015-01-02,James Miller,James.Miller@gmail.com,295-483-3334,************6124
Resort Hotel,0,0,2015,September,39,25,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,240.0,0,Group,80.1,0,0,Check-Out,2015-09-26,Jacob Greene,JacobGreene36@comcast.net,435-872-5652,************5594
Resort Hotel,0,16,2015,September,39,25,0,1,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,,312.0,0,Transient-Party,80.0,0,1,Check-Out,2015-09-26,Steven Shaw,Steven.Shaw97@xfinity.com,495-182-8316,************4051
Resort Hotel,0,16,2015,September,39,25,0,1,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,,312.0,0,Transient-Party,80.0,0,1,Check-Out,2015-09-26,Ms. Sierra Blanchard,MBlanchard@aol.com,107-912-3644,************8577
Resort Hotel,0,0,2015,September,39,25,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,89.0,0,0,Check-Out,2015-09-26,Shannon Price,Shannon.P@zoho.com,463-041-5166,************2056
Resort Hotel,0,50,2015,September,40,30,0,1,1,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,104.0,0,0,Check-Out,2015-10-01,Mark Schultz,Mark.Schultz@outlook.com,348-692-6884,************8324
Resort Hotel,0,2,2015,September,40,30,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,H,1,No Deposit,,318.0,0,Transient,55.5,0,1,Check-Out,2015-10-02,Ashley Sanchez,AshleySanchez@gmail.com,184-725-4499,************6412
Resort Hotel,0,0,2015,October,40,1,0,1,3,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,,,0,Transient-Party,120.0,0,2,Check-Out,2015-10-02,Rebecca Castaneda,RebeccaCastaneda@outlook.com,607-428-8699,************9066
Resort Hotel,0,0,2015,October,40,2,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,H,0,No Deposit,,,0,Transient,0.0,0,2,Check-Out,2015-10-04,Randy Carney,Carney.Randy@yandex.com,875-828-6676,************7322
Resort Hotel,0,0,2015,October,40,3,0,1,1,0.0,0,BB,AUT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,74.0,1,0,Check-Out,2015-10-04,Eric Gonzalez,Eric.G93@mail.com,769-589-6004,************1716
Resort Hotel,0,5,2015,October,40,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,67.0,0,0,Check-Out,2015-10-04,Sandra Hudson DDS,Sandra_DDS@yandex.com,844-714-7253,************5054
